minimum_score,minimum_adx,minimum_rvol,stop_atr,target_r,allow_long,allow_short,starting_capital,ending_capital,net_profit,total_return_pct,trades,win_rate_pct,profit_factor,average_r,max_drawdown_pct,rank_score
75,18,1.5,1.5,1.5,True,False,10000.0,11722.73,1722.73,17.23,31,61.29,2.29,0.53,-2.07,135.39800000000002
75,22,1.0,1.5,1.5,True,False,10000.0,11722.73,1722.73,17.23,31,61.29,2.29,0.53,-2.07,135.39800000000002
75,22,1.2,1.5,1.5,True,False,10000.0,11722.73,1722.73,17.23,31,61.29,2.29,0.53,-2.07,135.39800000000002
75,22,1.5,1.5,1.5,True,False,10000.0,11722.73,1722.73,17.23,31,61.29,2.29,0.53,-2.07,135.39800000000002
90,18,1.2,1.25,1.5,True,False,10000.0,10392.65,392.65,3.93,6,66.67,2.89,0.66,-1.0,134.544
90,22,1.2,1.25,1.5,True,False,10000.0,10392.65,392.65,3.93,6,66.67,2.89,0.66,-1.0,134.544
90,25,1.2,1.25,1.5,True,False,10000.0,10392.65,392.65,3.93,6,66.67,2.89,0.66,-1.0,134.544
90,30,1.2,1.25,1.5,True,False,10000.0,10392.65,392.65,3.93,6,66.67,2.89,0.66,-1.0,134.544
90,18,1.2,1.5,1.5,True,False,10000.0,10391.83,391.83,3.92,6,66.67,2.88,0.66,-1.01,134.16400000000002
90,22,1.2,1.5,1.5,True,False,10000.0,10391.83,391.83,3.92,6,66.67,2.88,0.66,-1.01,134.16400000000002
90,25,1.2,1.5,1.5,True,False,10000.0,10391.83,391.83,3.92,6,66.67,2.88,0.66,-1.01,134.16400000000002
90,30,1.2,1.5,1.5,True,False,10000.0,10391.83,391.83,3.92,6,66.67,2.88,0.66,-1.01,134.16400000000002
80,18,1.2,1.5,1.5,True,False,10000.0,11388.87,1388.87,13.89,24,62.5,2.41,0.56,-1.99,133.84
85,18,1.0,1.5,1.5,True,False,10000.0,11386.63,1386.63,13.87,24,62.5,2.4,0.56,-1.99,133.45
80,30,1.5,1.5,1.5,True,False,10000.0,10859.09,859.09,8.59,14,64.29,2.64,0.6,-1.99,132.448
85,30,1.5,1.5,1.5,True,False,10000.0,10859.09,859.09,8.59,14,64.29,2.64,0.6,-1.99,132.448
80,30,1.5,1.25,2.0,True,False,10000.0,11117.61,1117.61,11.18,16,56.25,2.49,0.68,-1.99,132.37
85,30,1.5,1.25,2.0,True,False,10000.0,11117.61,1117.61,11.18,16,56.25,2.49,0.68,-1.99,132.37
80,25,1.2,1.5,1.5,True,False,10000.0,11115.79,1115.79,11.16,19,63.16,2.49,0.57,-1.99,131.512
80,25,1.5,1.5,1.5,True,False,10000.0,11115.79,1115.79,11.16,19,63.16,2.49,0.57,-1.99,131.512
85,25,1.2,1.5,1.5,True,False,10000.0,11115.79,1115.79,11.16,19,63.16,2.49,0.57,-1.99,131.512
85,25,1.5,1.5,1.5,True,False,10000.0,11115.79,1115.79,11.16,19,63.16,2.49,0.57,-1.99,131.512
80,25,1.0,1.25,2.0,True,False,10000.0,11443.92,1443.92,14.44,22,54.55,2.31,0.63,-2.94,130.3
85,25,1.0,1.25,2.0,True,False,10000.0,11443.92,1443.92,14.44,22,54.55,2.31,0.63,-2.94,130.3
80,18,1.0,1.5,1.5,True,False,10000.0,11440.52,1440.52,14.41,26,61.54,2.31,0.53,-2.96,129.618
75,18,1.5,1.25,1.5,True,False,10000.0,11846.18,1846.18,18.46,35,60.0,2.15,0.49,-4.41,129.56
75,22,1.0,1.25,1.5,True,False,10000.0,11846.18,1846.18,18.46,35,60.0,2.15,0.49,-4.41,129.56
75,22,1.2,1.25,1.5,True,False,10000.0,11846.18,1846.18,18.46,35,60.0,2.15,0.49,-4.41,129.56
75,22,1.5,1.25,1.5,True,False,10000.0,11846.18,1846.18,18.46,35,60.0,2.15,0.49,-4.41,129.56
75,25,1.0,1.25,2.0,True,False,10000.0,11889.62,1889.62,18.9,33,51.52,2.05,0.54,-2.99,127.664
75,25,1.2,1.25,2.0,True,False,10000.0,11889.62,1889.62,18.9,33,51.52,2.05,0.54,-2.99,127.664
75,25,1.5,1.25,2.0,True,False,10000.0,11889.62,1889.62,18.9,33,51.52,2.05,0.54,-2.99,127.664
75,30,1.0,1.25,2.0,True,False,10000.0,11889.62,1889.62,18.9,33,51.52,2.05,0.54,-2.99,127.664
75,30,1.2,1.25,2.0,True,False,10000.0,11889.62,1889.62,18.9,33,51.52,2.05,0.54,-2.99,127.664
75,30,1.5,1.25,2.0,True,False,10000.0,11889.62,1889.62,18.9,33,51.52,2.05,0.54,-2.99,127.664
75,25,1.0,1.5,2.5,True,False,10000.0,11812.37,1812.37,18.12,28,46.43,2.09,0.62,-3.94,127.136
75,25,1.2,1.5,2.5,True,False,10000.0,11812.37,1812.37,18.12,28,46.43,2.09,0.62,-3.94,127.136
75,25,1.5,1.5,2.5,True,False,10000.0,11812.37,1812.37,18.12,28,46.43,2.09,0.62,-3.94,127.136
75,30,1.0,1.5,2.5,True,False,10000.0,11812.37,1812.37,18.12,28,46.43,2.09,0.62,-3.94,127.136
75,30,1.2,1.5,2.5,True,False,10000.0,11812.37,1812.37,18.12,28,46.43,2.09,0.62,-3.94,127.136
75,30,1.5,1.5,2.5,True,False,10000.0,11812.37,1812.37,18.12,28,46.43,2.09,0.62,-3.94,127.136
80,22,1.0,1.0,1.5,True,False,10000.0,11495.34,1495.34,14.95,28,60.71,2.21,0.51,-4.9,124.69200000000001
85,22,1.0,1.0,1.5,True,False,10000.0,11495.34,1495.34,14.95,28,60.71,2.21,0.51,-4.9,124.69200000000001
80,22,1.0,1.5,1.5,True,False,10000.0,11225.55,1225.55,12.26,23,60.87,2.25,0.52,-1.99,123.854
85,22,1.0,1.5,1.5,True,False,10000.0,11225.55,1225.55,12.26,23,60.87,2.25,0.52,-1.99,123.854
